# 35d2d4b6-a4b5-4059-8056-366b1787c79f
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89629.6353337; 43130.4342195; 0.7656960; -0.0206809; 5.5905083; -0.4327799
2.9808693; 89627.6387588; 43132.6473267; 0.7015069; -0.0223091; 5.3547794; -0.3641811
5.9617387; 89625.7983101; 43134.9914464; 0.6268725; -0.0279440; 5.1480588; 2.9705200
8.9426080; 89624.1166015; 43137.4520938; 0.5885270; 0.0037002; 6.6492085; 2.3192916
11.9234774; 89622.4512299; 43139.9242151; 0.5934960; -0.0020669; 7.6183321; 1.8001815
14.9043467; 89620.7814679; 43142.3935345; 0.6010690; 0.0080357; 8.2928401; 0.1036113
17.8852160; 89619.0837768; 43144.8433470; 0.6016741; -0.0091873; 8.3300000; 0.0000000
20.8660854; 89617.4239033; 43147.3199768; 0.5840495; -0.0009724; 8.3300000; -0.0000010
23.8469547; 89615.7811010; 43149.8044465; 0.5852502; 0.0011941; 8.3299997; -1.7382670
26.8278241; 89614.1494375; 43152.2918704; 0.5679183; -0.0135405; 7.6828251; -7.0395903
29.8086934; 89612.6632087; 43154.8674841; 0.4481247; -0.0706030; 4.1300851; -0.9643927
32.7895627; 89611.7282986; 43157.7057042; 0.1636372; -0.1226009; 3.3627587; 0.0802840
35.7704321; 89611.8616436; 43160.6528231; -0.2638462; -0.1472007; 3.4331878; -0.0755155
38.7513014; 89613.2749723; 43163.3514416; -0.6821177; -0.1184508; 3.3669830; -0.3635717
41.7321708; 89615.5940426; 43165.1768596; -1.2029103; -0.2363318; 3.0280448; -0.1027254
44.7130401; 89618.4139910; 43165.4509096; -1.6859888; -0.0881634; 2.9251723; 1.8280630
47.6939094; 89621.3401106; 43164.7953613; -1.8896604; -0.0696639; 4.4107898; -0.6868843
50.6747788; 89624.0403631; 43163.5330436; -2.1402970; -0.0965665; 3.9191889; 0.5101251
53.6556481; 89626.3020565; 43161.5929584; -2.4224799; -0.1031977; 4.2896706; 0.1050295
56.6365175; 89627.9453433; 43159.1031984; -2.6531465; -0.0302039; 4.3620445; -0.2416520
59.6173868; 89629.2207076; 43156.4329900; -2.7675343; -0.0695205; 4.1936579; 4.3349618
62.5982561; 89630.0708919; 43153.5896003; -2.8975046; -0.0071522; 6.5901954; 0.6499655
65.5791255; 89630.8006807; 43150.6824589; -2.8934262; 0.0000652; 6.8779067; -1.3445056
68.5599948; 89631.5290853; 43147.7832912; -2.8994206; -0.0039933; 6.2681743; -0.9630373
71.5408642; 89632.2417776; 43144.9054565; -2.8825313; 0.0235849; 5.7921181; -1.1935922
74.5217335; 89633.1497455; 43142.0883406; -2.7591807; 0.0588516; 5.1412787; -1.4269006
77.5026028; 89634.5405437; 43139.4547336; -2.5320895; 0.0985166; 4.2339035; -0.6888188
80.4834722; 89636.6131132; 43137.3475545; -2.1831831; 0.1270737; 3.7174428; -0.0977977
83.4643415; 89639.3996831; 43136.1198228; -1.7944324; 0.1163247; 3.6381777; -0.0832874
86.4452109; 89642.3588232; 43136.0612808; -1.3148850; 0.2401900; 3.5692856; -1.1746540
89.4260802; 89644.8893122; 43137.4984720; -0.8936257; 0.1341430; 2.3951658; -0.6999416
92.4069495; 89646.4747996; 43139.9196003; -0.2764022; 0.1384331; 1.2505799; 0.3329859
95.3878189; 89646.8318632; 43142.8467455; 0.0168724; 0.0827991; 1.8839122; 0.0602571
98.3686882; 89646.4847518; 43145.8033880; 0.2057712; 0.0584398; 1.9769579; -0.0364687
101.3495576; 89645.6025210; 43148.7122966; 0.3731453; 0.0429026; 1.9211834; -0.0310863
104.3304269; 89644.3541615; 43151.4424251; 0.4809724; 0.0345936; 1.8723295; 0.0601654
107.3112962; 89642.8537410; 43153.9900674; 0.5845828; 0.0365387; 1.9657844; 0.0484515
110.2921656; 89641.0942883; 43156.3649927; 0.6873823; 0.0302182; 2.0379312; 1.0495488
113.2730349; 89639.1303581; 43158.5823412; 0.7531681; 0.0121634; 3.2264995; 0.8996421
116.2539043; 89637.0677633; 43160.7352250; 0.7725273; 0.0064427; 3.9716155; 0.9754723
119.2347736; 89634.9468623; 43162.8642653; 0.7942660; 0.0062613; 4.6464224; 2.3501838
122.2156429; 89632.7838664; 43164.9561032; 0.8079518; 0.0020615; 5.9666090; 2.8220400
125.1965123; 89630.6221779; 43167.0235553; 0.8042912; -0.0038748; 7.2404895; 2.2824567
