x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89627.638759,43132.647327,0,0.939114,0.000000,0.000000,0.343605,5.354779
89625.798310,43134.991446,0,0.951280,0.000000,0.000000,0.308329,5.148059
89624.116602,43137.452094,0,0.957016,0.000000,0.000000,0.290035,6.649209
89622.451230,43139.924215,0,0.956292,0.000000,0.000000,0.292412,7.618332
89620.781468,43142.393534,0,0.955178,0.000000,0.000000,0.296031,8.292840
89619.083777,43144.843347,0,0.955089,0.000000,0.000000,0.296320,8.330000
89617.423903,43147.319977,0,0.957663,0.000000,0.000000,0.287892,8.330000
89615.781101,43149.804446,0,0.957490,0.000000,0.000000,0.288467,8.330000
89614.149438,43152.291870,0,0.959954,0.000000,0.000000,0.280158,7.682825
89612.663209,43154.867484,0,0.975003,0.000000,0.000000,0.222192,4.130085
89611.728299,43157.705704,0,0.996655,0.000000,0.000000,0.081727,3.362759
89611.861644,43160.652823,0,0.991311,0.000000,0.000000,-0.131541,3.433188
89613.274972,43163.351442,0,0.942401,0.000000,0.000000,-0.334485,3.366983
89615.594043,43165.176860,0,0.824513,0.000000,0.000000,-0.565843,3.028045
89618.413991,43165.450910,0,0.665230,0.000000,0.000000,-0.746638,2.925172
89621.340111,43164.795361,0,0.585880,0.000000,0.000000,-0.810397,4.410790
89624.040363,43163.533044,0,0.479994,0.000000,0.000000,-0.877272,3.919189
89626.302057,43161.592958,0,0.351859,0.000000,0.000000,-0.936053,4.289671
89627.945343,43159.103198,0,0.241803,0.000000,0.000000,-0.970325,4.362044
89629.220708,43156.432990,0,0.185941,0.000000,0.000000,-0.982561,4.193658
89630.070892,43153.589600,0,0.121741,0.000000,0.000000,-0.992562,6.590195
89630.800681,43150.682459,0,0.123765,0.000000,0.000000,-0.992312,6.877907
89631.529085,43147.783291,0,0.120790,0.000000,0.000000,-0.992678,6.268174
89632.241778,43144.905456,0,0.129169,0.000000,0.000000,-0.991623,5.792118
89633.149746,43142.088341,0,0.190043,0.000000,0.000000,-0.981776,5.141279
89634.540544,43139.454734,0,0.300056,0.000000,0.000000,-0.953922,4.233904
89636.613113,43137.347554,0,0.461074,0.000000,0.000000,-0.887362,3.717443
89639.399683,43136.119823,0,0.623788,0.000000,0.000000,-0.781593,3.638178
89642.358823,43136.061281,0,0.791558,0.000000,0.000000,-0.611094,3.569286
89644.889312,43137.498472,0,0.901829,0.000000,0.000000,-0.432093,2.395166
